"","X","post_date","wday","post_topic","post_style","post_tone","post_type","post_reactions","post_shares","post_comments","total_inter"
"3356",3356,"2019-04-19","Fri","Sexual Purity","Counsel","Neutral","status",32,5,18,55
"3357",3357,"2019-04-21","Sun","Sexual Abstinence","Storytelling","Guilt","status",8,0,0,8
"3358",3358,"2019-04-23","Tue","Intimate Relations","Counsel","Neutral","status",21,0,10,31
"3359",3359,"2019-04-24","Wed","Sexual Abstinence","Counsel","Stigma","status",120,1,20,141
"3360",3360,"2019-04-23","Tue","Sexual Purity","Counsel","Neutral","photo",217,27,18,262
"3361",3361,"2019-04-25","Thu","Intimate Relations","Counsel","Stigma","status",10,1,0,11
"3362",3362,"2019-04-25","Thu","Intimate Relations","Counsel","Neutral","status",3,1,0,4
"3363",3363,"2019-04-24","Wed","Intimate Relations","Storytelling","Neutral","status",99,18,28,145
"3364",3364,"2019-04-24","Wed","Intimate Relations","Storytelling","Neutral","photo",578,54,79,711
"3365",3365,"2019-04-25","Thu","Intimate Relations","Counsel","Neutral","status",38,3,19,60
"3366",3366,"2019-04-25","Thu","Sexual Purity","Counsel","Neutral","status",17,1,2,20
"3367",3367,"2019-04-25","Thu","Intimate Relations","Counsel","Guilt","status",20,3,1,24
"3368",3368,"2019-04-26","Fri","Sexual Abstinence","Storytelling","Stigma","status",254,19,37,310
"3369",3369,"2019-04-27","Sat","Sexual Abstinence","Counsel","Guilt","status",24,1,0,25
"3370",3370,"2019-04-28","Sun","Sexual Abstinence","Storytelling","Neutral","status",127,36,17,180
"3371",3371,"2019-04-28","Sun","Sexual Purity","Request for opinion","Neutral","status",126,2,66,194
"3372",3372,"2019-04-29","Mon","Intimate Relations","Counsel","Neutral","status",6,0,0,6
"3373",3373,"2019-04-29","Mon","Sexual Purity","Experience sharing","Enact fear","status",178,9,37,224
"3374",3374,"2019-04-29","Mon","Sexual Abstinence","Counsel","Enact fear","status",2,1,0,3
"3375",3375,"2019-04-29","Mon","Abuse","Storytelling","Neutral","status",158,1,64,223
"3376",3376,"2019-04-30","Tue","Abuse","Storytelling","Neutral","status",176,2,52,230
"3377",3377,"2019-05-02","Thu","Sexual Abstinence","Counsel","Enact fear","status",23,7,6,36
"3378",3378,"2019-04-30","Tue","Sexual Purity","Counsel","Guilt","status",76,22,7,105
